guessed,id,cert,true,notes
nl,8920.xml,0.32257136702537537,nl,
la,188363.xml,0.3236517310142517,la,
de,24528.xml,0.3236813247203827,nl,
nl,22439.xml,0.32371875643730164,nl,
de,24589.xml,0.3259224593639374,nl,
af,3710.xml,0.32618218660354614,nl,
nl,3720.xml,0.32688090205192566,nl,
nl,113221.xml,0.327472448348999,nl,
nl,24515.xml,0.32795506715774536,nl,
nl,16567.xml,0.32865986227989197,nl,
af,36700.xml,0.33072933554649353,nl,
nl,8877.xml,0.33148282766342163,nl,
nl,190166.xml,0.3315960764884949,nl,
nl,26848.xml,0.33221694827079773,nl,
nl,26853.xml,0.33284878730773926,nl,
la,12044.xml,0.3336086571216583,la,
nl,36917.xml,0.3336096405982971,nl,
nl,40768.xml,0.3339785635471344,nl,
de,25069.xml,0.33799290657043457,nl,
nl,14654.xml,0.33865219354629517,nl,
nl,2413.xml,0.33927419781684875,nl,
nl,3723.xml,0.33991214632987976,nl,
de,25066.xml,0.34006062150001526,nl,
nl,165149.xml,0.3412531912326813,nl,
nl,24520.xml,0.3413050174713135,nl,
nl,26863.xml,0.3418532609939575,nl,
nl,38879.xml,0.3435797095298767,nl,
af,36601.xml,0.3440098464488983,nl,
nl,40777.xml,0.3441106975078583,nl,
nl,21512.xml,0.344857394695282,nl,
nl,36644.xml,0.3450557291507721,nl,
nl,6836.xml,0.34539714455604553,nl,
nl,190205.xml,0.34574052691459656,nl,
nl,40773.xml,0.34653306007385254,nl,
nl,33944.xml,0.34950777888298035,nl,
nl,115384.xml,0.3504929840564728,nl,
la,12045.xml,0.35084885358810425,la,
nl,15927.xml,0.35214465856552124,nl,
nl,3679.xml,0.35305842757225037,nl,
nl,26856.xml,0.35382357239723206,nl,
nl,24521.xml,0.35474976897239685,nl,
nl,36711.xml,0.3555149435997009,nl,
nl,36703.xml,0.35661739110946655,nl,
nl,34125.xml,0.35674017667770386,nl,
de,17752.xml,0.3568173944950104,nl,
nl,190198.xml,0.35711705684661865,nl,
nl,36945.xml,0.3572695255279541,nl,
af,24577.xml,0.36042043566703796,nl,
nl,2117.xml,0.36110618710517883,nl,
nl,26740.xml,0.36267903447151184,nl,
af,36655.xml,0.3639737069606781,nl,
nl,36584.xml,0.36423540115356445,nl,
nl,40747.xml,0.36521491408348083,nl,
nl,24529.xml,0.3664366602897644,nl,
nl,36706.xml,0.36739635467529297,nl,
nl,151859.xml,0.36799177527427673,nl,
fy,24554.xml,0.3686619699001312,nl,
nl,36704.xml,0.3693239986896515,nl,
nl,24582.xml,0.369549423456192,nl,
nl,187546.xml,0.37005549669265747,nl,
de,26746.xml,0.3700923025608063,nl,
la,12150.xml,0.37036779522895813,la,
nl,19262.xml,0.37074604630470276,nl,
nl,6786.xml,0.37123197317123413,nl,
de,190191.xml,0.37212201952934265,nl,
nl,26912.xml,0.37288030982017517,nl,
nl,36636.xml,0.3742467164993286,nl,
nl,23572.xml,0.3748014271259308,nl,
nl,37014.xml,0.3761531114578247,nl,
nl,36657.xml,0.3763178586959839,nl,
nl,191417.xml,0.37677884101867676,nl,
fy,40769.xml,0.37686973810195923,nl,
nl,36613.xml,0.3774283528327942,nl,
de,116751.xml,0.3778250217437744,nl,(mais ich etc.)
nl,36653.xml,0.37857943773269653,nl,
de,22276.xml,0.3791218400001526,nl,
nl,8936.xml,0.38009148836135864,nl,
de,25062.xml,0.3802933394908905,nl,
nl,36607.xml,0.380778968334198,nl,
nl,22702.xml,0.3810158669948578,nl,
af,36593.xml,0.3810901939868927,nl,
af,36617.xml,0.38126638531684875,nl,
de,25432.xml,0.3812890946865082,nl,
nl,24574.xml,0.3814351558685303,nl,
af,36611.xml,0.3815055787563324,nl,
nl,40725.xml,0.3821985721588135,nl,
nl,24540.xml,0.38232725858688354,nl,
nl,40716.xml,0.383647620677948,nl,
nl,40717.xml,0.384544312953949,nl,
nl,21571.xml,0.3854389786720276,nl,
de,25437.xml,0.3854633867740631,nl,
de,25068.xml,0.3866378366947174,nl,
nl,36666.xml,0.38674530386924744,nl,
la,12153.xml,0.38688474893569946,la,
la,14514.xml,0.3894651532173157,la,
nl,36684.xml,0.38952285051345825,nl,
af,36674.xml,0.3895411491394043,nl,
nl,40761.xml,0.39088377356529236,nl,
nl,17076.xml,0.39121317863464355,nl,
nl,24543.xml,0.39138931035995483,nl,
nl,20605.xml,0.3915674090385437,nl,
nl,22717.xml,0.3919938802719116,nl,
nl,40780.xml,0.39210712909698486,nl,
nl,26745.xml,0.3930456340312958,nl,
nl,2068.xml,0.3938566744327545,nl,
nl,190192.xml,0.39417552947998047,nl,
nl,24056.xml,0.394338995218277,nl,
la,118999.xml,0.3946773111820221,la,
nl,36586.xml,0.39490219950675964,nl,
nl,190179.xml,0.3957500159740448,nl,
nl,6772.xml,0.39596787095069885,nl,
nl,14007.xml,0.3963679075241089,nl,
nl,26908.xml,0.39660120010375977,nl,
nl,190187.xml,0.39689403772354126,nl,
nl,3649.xml,0.39712440967559814,nl,
nl,33843.xml,0.3974156677722931,nl,
nl,24545.xml,0.39777475595474243,nl,
de,25061.xml,0.39796051383018494,nl,
nl,14669.xml,0.3983621597290039,nl,
nl,21446.xml,0.398899644613266,nl,
nl,24538.xml,0.39921942353248596,nl,
nl,22720.xml,0.4000610113143921,nl,
nl,36683.xml,0.4000883102416992,nl,
nl,20042.xml,0.4018104374408722,nl,
nl,184895.xml,0.4023567736148834,nl,
nl,37017.xml,0.4027000963687897,nl,
nl,34062.xml,0.4027728736400604,nl,
nl,8905.xml,0.40302789211273193,nl,
nl,192617.xml,0.40323665738105774,nl,
nl,190169.xml,0.40420299768447876,nl,
nl,36165.xml,0.4048355221748352,nl,
nl,2459.xml,0.40553078055381775,nl,
fr,13018.xml,0.4055909216403961,nl,et un peu de fr
nl,185827.xml,0.40588268637657166,nl,
nl,9002.xml,0.40636172890663147,nl,
de,190186.xml,0.4065197706222534,nl,
nl,6833.xml,0.40752744674682617,nl,
nl,24530.xml,0.40768054127693176,nl,
la,188365.xml,0.40808701515197754,la,
nl,26719.xml,0.4082356095314026,nl,
nl,26902.xml,0.4084256589412689,nl,
nl,36675.xml,0.40865659713745117,nl,
nl,112819.xml,0.4089032709598541,nl,
nl,184877.xml,0.4089527428150177,nl,
nl,16537.xml,0.41041436791419983,nl,
nl,2052.xml,0.4106171429157257,nl,
nl,136159.xml,0.41073402762413025,nl,
de,13885.xml,0.4107510447502136,nl,
fy,40720.xml,0.41081035137176514,nl,
nl,22715.xml,0.41129279136657715,nl,
nl,3750.xml,0.41183993220329285,nl,
nl,26861.xml,0.41191786527633667,nl,
nl,24327.xml,0.412422776222229,nl,
nl,3839.xml,0.41265901923179626,nl,
nl,8878.xml,0.41275691986083984,nl,
nl,8886.xml,0.4146621525287628,nl,
nl,184623.xml,0.41488131880760193,nl,
nl,34059.xml,0.41568127274513245,nl,
nl,36592.xml,0.4165757894515991,nl,
nl,24557.xml,0.4169706106185913,nl,
nl,16827.xml,0.41712772846221924,nl,
nl,36508.xml,0.4177943766117096,nl,
nl,24563.xml,0.4187583029270172,nl,
nl,35904.xml,0.41920384764671326,nl,
nl,24590.xml,0.41945794224739075,nl,
nl,20413.xml,0.41979914903640747,nl,
af,36621.xml,0.4199758470058441,nl,
nl,8787.xml,0.4207597076892853,nl,
nl,21173.xml,0.42088836431503296,nl,
nl,186792.xml,0.4209023714065552,nl,
nl,36632.xml,0.4210198223590851,nl,
nl,22086.xml,0.4215944707393646,nl,
nl,40765.xml,0.4222545325756073,nl,
de,24823.xml,0.4223702847957611,nl,
nl,22247.xml,0.4227598309516907,nl,
nl,190176.xml,0.42346853017807007,nl,
nl,190193.xml,0.4238738715648651,nl,
nl,24537.xml,0.424043208360672,nl,
nl,38764.xml,0.4245956540107727,nl,
nl,6834.xml,0.42561906576156616,nl,
nl,34135.xml,0.4259583353996277,nl,
nl,14947.xml,0.42597153782844543,nl,
nl,24585.xml,0.42670178413391113,nl,
nl,32698.xml,0.42744362354278564,nl,
nl,24399.xml,0.4284851849079132,nl,
nl,24575.xml,0.4284859299659729,nl,
nl,19503.xml,0.42868733406066895,nl,
nl,190204.xml,0.4287567138671875,nl,
nl,3667.xml,0.42891907691955566,nl,
nl,36650.xml,0.42934295535087585,nl,
nl,14612.xml,0.4294988811016083,nl,
nl,161883.xml,0.430387407541275,nl,
nl,24352.xml,0.43067434430122375,nl,
nl,26850.xml,0.4313561022281647,nl,
la,20733.xml,0.4313809275627136,la,
de,25413.xml,0.4314197301864624,nl,
nl,9189.xml,0.43183326721191406,nl,
nl,26750.xml,0.43254825472831726,nl,
nl,100188.xml,0.4326755106449127,nl,
nl,35991.xml,0.43272387981414795,nl,
nl,3729.xml,0.432857871055603,nl,
nl,156238.xml,0.4332982897758484,nl,
nl,36652.xml,0.43337342143058777,nl,
nl,25056.xml,0.43383610248565674,nl,
nl,3732.xml,0.43466871976852417,nl,
de,150654.xml,0.434944212436676,nl,
nl,22712.xml,0.43501487374305725,nl,
af,36625.xml,0.4351101815700531,nl,
nl,20052.xml,0.43554237484931946,nl,
nl,32533.xml,0.4355429708957672,nl,
nl,34134.xml,0.4358602464199066,nl,
nl,22410.xml,0.4361099600791931,nl,
nl,10222.xml,0.43640950322151184,nl,
nl,188456.xml,0.4377759099006653,nl,
nl,3740.xml,0.43777716159820557,nl,
fr,123405.xml,0.43824997544288635,"nl, fr",
nl,36708.xml,0.4382858872413635,nl,
nl,36168.xml,0.4388788938522339,nl,
nl,36992.xml,0.43936794996261597,nl,
nl,36637.xml,0.4397198259830475,nl,
nl,3731.xml,0.439729779958725,nl,
nl,24513.xml,0.4404245913028717,nl,
af,164298.xml,0.4407222270965576,nl,
nl,3687.xml,0.4410262703895569,nl,
nl,23535.xml,0.4419940710067749,nl,
nl,24504.xml,0.44211554527282715,nl,
nl,190021.xml,0.4421272873878479,nl,
nl,22719.xml,0.442484587430954,nl,
nl,6713.xml,0.4430052936077118,nl,
nl,158978.xml,0.44373026490211487,nl,
nl,34451.xml,0.44401848316192627,nl,
nl,8959.xml,0.444068968296051,nl,
nl,184665.xml,0.44408705830574036,nl,
nl,36598.xml,0.44427189230918884,nl,
nl,3690.xml,0.44540953636169434,nl,
nl,36712.xml,0.44588154554367065,nl,
nl,36654.xml,0.44607508182525635,nl,
nl,190180.xml,0.44655823707580566,nl,
nl,32699.xml,0.4469837248325348,nl,
af,17191.xml,0.447555810213089,nl,
nl,190145.xml,0.4477371573448181,nl,
nl,2077.xml,0.4486585855484009,nl,
nl,24502.xml,0.4488162696361542,nl,
nl,2115.xml,0.4493202567100525,nl,
nl,190144.xml,0.4497070908546448,nl,
de,25064.xml,0.4501187801361084,nl,
nl,2072.xml,0.45020413398742676,nl,
nl,185132.xml,0.4508284330368042,nl,
nl,34180.xml,0.4515918493270874,nl,
nl,35560.xml,0.45212486386299133,nl,
nl,36721.xml,0.45312416553497314,nl,
nl,13519.xml,0.4535975754261017,nl,
nl,17546.xml,0.45402756333351135,nl,
nl,3558.xml,0.45471885800361633,nl,
nl,20611.xml,0.45503687858581543,nl,
nl,40753.xml,0.4552215039730072,nl,
nl,3712.xml,0.4560660719871521,nl,
